cycle,block_name,Delta_Theta_sum,Delta_Theta_shape,Delta_Theta_NM,Delta_B_rms,Delta_du_rms,Delta_U_overlap,accepted
7,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
8,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
8,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
9,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
9,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
10,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
10,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
10,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
10,surgery_microquench,3.24835041502893884e-04,-1.10857538825533120e-03,-1.52902648943521735e-03,1.49904715223642127e-03,1.63115447405866310e-03,-6.88459180608680561e-03,1
11,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
11,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
12,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
12,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
13,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
13,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
14,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
14,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
15,shape,0.00000000000000000e+00,-1.61884032544687417e-03,-9.46604369888290331e-04,0.00000000000000000e+00,0.00000000000000000e+00,1.09042973299441903e-03,1
15,ricci,-7.29138708578525030e-03,-6.16581321353060208e-04,-2.60880428725307478e-03,-5.43214469219084894e-02,-1.21328509086034153e-02,1.35822045341965139e-02,1
15,box,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,1
