cycle,F_total,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,radius_ratio,Lx,Ly,shear,accepted_cycle,ran_box,ran_surgery
44,1.66485724876371151e-02,6.94104306366511575e-02,4.51604846175458138e-02,5.45863628271354775e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.72995222067083343e-01,1.34757879745275977e-01,3.99951637662866810e+00,3.25783348431444182e+01,3.30529569747429690e+01,0.00000000000000000e+00,1,0,0
45,1.66908568118726425e-02,6.90640454741486692e-02,4.51604846175458485e-02,5.40029727025406747e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.76374906391166847e-01,1.35896282453056294e-01,3.99951637662866810e+00,3.25672734965726107e+01,3.30641832818011707e+01,0.00000000000000000e+00,1,1,0
46,1.67376167947885547e-02,6.87405225635705081e-02,4.51604846175458277e-02,5.34511204324222763e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.79682057458686789e-01,1.36495673058125933e-01,3.99951637662866810e+00,3.25672734965726107e+01,3.30641832818011707e+01,0.00000000000000000e+00,1,0,0
47,1.67871553744571647e-02,6.84226414098304120e-02,4.51604846175458069e-02,5.28981366949314302e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.83025205439485444e-01,1.37092161043774752e-01,3.99951637662866810e+00,3.25672734965726107e+01,3.30641832818011707e+01,0.00000000000000000e+00,1,0,0
48,1.68399029044711129e-02,6.81092939863504193e-02,4.51604846175458277e-02,5.23542589261457997e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.86369933563353740e-01,1.37678109537778148e-01,3.99951637662866810e+00,3.25672734965726107e+01,3.30641832818011707e+01,0.00000000000000000e+00,1,0,0
49,1.68399029044711129e-02,6.81092939863504193e-02,4.51604846175458277e-02,5.23542589261457997e-02,3.29404475492097892e-01,5.50870879460556253e+01,9.63630336411830657e-02,3.46640815829877436e-01,1.86369933563353740e-01,1.37678109537778148e-01,3.99951637662866810e+00,3.25672734965726107e+01,3.30641832818011707e+01,0.00000000000000000e+00,0,0,0
50,1.68946904343497961e-02,6.77932648726478765e-02,4.51604846175458138e-02,5.18155996796179630e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,1.89710166462827096e-01,1.38594213800007582e-01,3.99951637662866810e+00,3.25598213158244789e+01,3.30717508991942495e+01,0.00000000000000000e+00,1,1,1
51,1.69551003662182162e-02,6.74846407960381228e-02,4.51604846175458277e-02,5.12967841125989490e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,1.93058217494749051e-01,1.39328845704488780e-01,3.99951637662866810e+00,3.25598213158244789e+01,3.30717508991942495e+01,0.00000000000000000e+00,1,0,0
52,1.70180085999229423e-02,6.71874653508908876e-02,4.51604846175458347e-02,5.07982330664134771e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,1.96352365273840423e-01,1.41398478166791186e-01,3.99951637662866810e+00,3.25598213158244789e+01,3.30717508991942495e+01,0.00000000000000000e+00,1,0,0
53,1.70833773435150570e-02,6.68921833983111280e-02,4.51604846175458277e-02,5.03099164133917892e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,1.99634651871570507e-01,1.43429540841945702e-01,3.99951637662866810e+00,3.25598213158244789e+01,3.30717508991942495e+01,0.00000000000000000e+00,1,0,0
54,1.71515346995569952e-02,6.65954001517842231e-02,4.51604846175458069e-02,4.98229987557456261e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.02948058372706852e-01,1.45449462997732759e-01,3.99951637662866810e+00,3.25598213158244789e+01,3.30717508991942495e+01,0.00000000000000000e+00,1,0,0
55,1.72207814085876473e-02,6.62893583194330699e-02,4.51604846175458069e-02,4.93215153916406399e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.06321765532807316e-01,1.47746644711576947e-01,3.99951637662866810e+00,3.25530048645033077e+01,3.30786759735782709e+01,0.00000000000000000e+00,1,1,0
56,1.72930335341887828e-02,6.59980234397602866e-02,4.51604846175458347e-02,4.88455376733409122e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.09635821242033116e-01,1.49711324785239075e-01,3.99951637662866810e+00,3.25530048645033077e+01,3.30786759735782709e+01,0.00000000000000000e+00,1,0,0
57,1.73676337942176816e-02,6.57141378420463135e-02,4.51604846175458208e-02,4.83825318854074690e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.12928512800822950e-01,1.51627523784539031e-01,3.99951637662866810e+00,3.25530048645033077e+01,3.30786759735782709e+01,0.00000000000000000e+00,1,0,0
58,1.74439988714566591e-02,6.54322676187302499e-02,4.51604846175458138e-02,4.79276850300064602e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.16208070317881085e-01,1.53495109594010026e-01,3.99951637662866810e+00,3.25530048645033077e+01,3.30786759735782709e+01,0.00000000000000000e+00,1,0,0
59,1.75226471897907236e-02,6.51485747471314131e-02,4.51604846175458208e-02,4.74721182404814687e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.19519475968452477e-01,1.55339706037423309e-01,3.99951637662866810e+00,3.25530048645033077e+01,3.30786759735782709e+01,0.00000000000000000e+00,1,0,0
60,1.75226471897907236e-02,6.51485747471314131e-02,4.51604846175458208e-02,4.74721182404814687e-02,3.29404475492097948e-01,5.50870879458858269e+01,9.63630336411470806e-02,3.46640815829057647e-01,2.19519475968452477e-01,1.55339706037423309e-01,3.99951637662866810e+00,3.25530048645033077e+01,3.30786759735782709e+01,0.00000000000000000e+00,0,1,1
