phi,seed,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,valid_torus,degree_radius_corr,regime
8.19999999999999951e-01,5,1.43382801486215683e-01,8.77693657174262454e-02,1.33642985710162782e-01,6.49612511535732629e-01,1.67158367914912702e+02,1.77395529938722402e-01,6.58145764395098420e-01,5.33865443780504629e-13,1.51677037152353478e-07,1,7.68786660859148374e-01,high_sum_high_shape
8.29999999999999960e-01,5,1.30268410291165565e-01,7.98813367865708751e-02,1.22779101841572161e-01,5.95680412062847053e-01,1.09146289610884708e+02,1.54951753756727401e-01,4.76277507838956837e-01,2.75243951105045890e-08,3.43164000908835476e-05,1,7.93111118121558989e-01,high_sum_high_shape
8.39999999999999969e-01,5,1.21618312822179761e-01,7.62301773888094947e-02,1.19335140405066792e-01,5.43539937513074056e-01,9.47338968315334853e+01,1.45100573542343736e-01,4.32619716013288358e-01,5.74803358947215733e-04,3.84044200969535510e-03,1,8.03596393977433543e-01,high_sum_high_shape
8.49999999999999978e-01,5,1.07585720562994799e-01,7.22162081768105840e-02,1.01995974800889913e-01,5.32537523761663634e-01,9.40922015008902548e+01,1.38679672666299714e-01,4.52696942355063303e-01,8.25924742305180620e-03,1.97657890541225179e-02,1,8.23971047836464132e-01,high_sum_high_shape
8.59999999999999987e-01,5,1.07421198107629498e-01,6.43431621406964360e-02,1.09463180494632675e-01,4.77528940521849576e-01,8.68524301764831108e+01,1.29999897081163773e-01,4.40974621282583190e-01,6.01101898496645068e-02,4.31193662066144956e-02,1,8.38589102489344707e-01,high_sum_high_shape
8.69999999999999996e-01,5,9.71149097987350357e-02,6.01737644468002195e-02,9.95268002281590597e-02,4.52594687517337169e-01,8.78146319611520880e+01,1.23586045953114704e-01,4.66339306708847989e-01,1.22597211504982068e-01,5.46773420971744528e-02,1,8.46014771367839202e-01,high_sum_high_shape
8.80000000000000004e-01,5,1.03224456908245443e-01,6.45811756849940244e-02,1.05538979200706234e-01,4.61758856275230500e-01,1.00376845995869274e+02,1.31088972168522555e-01,5.08624233749218280e-01,3.64608575248326350e-01,1.09367591273613396e-01,1,8.55622212695676398e-01,high_sum_high_shape
8.90000000000000013e-01,5,9.26721856178438497e-02,6.32251196407844773e-02,9.19676974971823935e-02,4.60312805775884515e-01,9.15036811981527762e+01,1.28331762675639449e-01,4.71443036212809363e-01,5.25141082575077300e-01,1.17268961872576849e-01,1,8.60404290722644016e-01,high_sum_high_shape
9.00000000000000022e-01,5,9.87912855750806562e-02,6.24664762544254876e-02,1.00793165462678219e-01,4.48475965256731834e-01,8.17141298259439282e+01,1.25837571457773689e-01,4.25165718786456814e-01,8.06476777232618791e-01,1.41429770739768479e-01,1,8.41704359668862812e-01,high_sum_high_shape
9.10000000000000031e-01,5,9.20172499745343792e-02,6.39433362829372881e-02,8.94700085443090459e-02,4.68389201105183062e-01,7.91271235194421081e+01,1.27596057130445556e-01,4.03683175925361848e-01,1.12489918692884672e+00,1.78029812665774667e-01,1,8.41648784306489151e-01,high_sum_high_shape
